Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,Ratings_Imputed,Revenue_Imputed,Airtime_Imputed,SetimentScore_Imputed,BiasScore_Imputed,Viewership_Imputed,Shares_Imputed,AdSpend_Imputed,ControversyFlag_Imputed,MissingDataFlag_Clean,SocialMediaInteractions_Imputed
Najam Sethi,ARY News,The News,Islamabad,Multan,Health,Polio cases reported in KPK,10.61315105,11648570.0,25.0,-0.01428783401,3.0,1756573.0,136184.0,4452987.876,No,1.0,2021-06-21,English,Opposition,24817.0,False,False,False,False,True,False,False,False,False,1,True
Dr. Shahid Masood,Hum News,Dawn,Sindh,Quetta,Economy,Budget deficit reaches record high,27.54570472,5000000.0,233.5,-0.15559362264999999,,1546170.0,109882.5,10000000.0,Yes,,2019-11-19,Urdu,,14461.0,False,False,True,True,False,False,True,False,False,1,False
Kamran Shahid,SAMAA TV,Jang,Sindh,Rawalpindi,Terrorism,Attack on Army convoy in Waziristan,50.38747329,14072656.0,223.0,0.7015714564,3.0,819837.0,119740.0,5000000.0,Yes,,2024-05-07,Urdu,Pro-Govt,33436.0,False,False,False,False,True,True,True,False,False,1,False
Matiullah Jan,Dawn News,Nawa-i-Waqt,Islamabad,Multan,Health,Hospitals face medicine shortages,54.31346769,812673.0,262.0,-0.08999652479,2.0,1083972.0,16712.0,10000000.0,Yes,,2019-10-03,Urdu,Neutral,25866.0,True,False,True,True,False,False,False,False,False,1,True
Rauf Klassra,SAMAA TV,The News,Sindh,Karachi,Judiciary,Chief Justice orders suo moto on Karachi violence,58.93298246,5000000.0,223.0,0.1385689893,3.0,700635.0,108679.0,3975468.534,,0.0,2018-02-07,Urdu,Neutral,25565.0,True,True,False,True,True,False,True,False,True,1,True
Ansar Abbasi,Geo News,Jang,Balochistan,Peshawar,Sports,Karachi Kings beat Multan Sultans,58.592160105000005,1000000.0,246.0,-0.9190341937,,1012541.0,99141.0,3391548.696,,,2020-12-06,English,,24395.0,True,False,True,False,True,True,True,False,True,1,False
Ansar Abbasi,Geo News,The News,Balochistan,Multan,Health,Doctors protest low salaries,58.592160105000005,148524.0,261.0,-0.01462863279,,1087522.0,130390.0,4217555.722,,0.0,2021-09-28,English,,33630.0,True,False,True,True,True,True,False,False,True,1,False
Umar Cheema,Abb Takk News,Nawa-i-Waqt,Sindh,Rawalpindi,Health,Health workers go on strike in Punjab,58.74782338,20000000.0,117.0,-0.07913783398,3.0,1085616.0,19105.0,5000000.0,,1.0,2022-02-04,Urdu,Pro-Govt,25763.0,True,False,False,True,True,True,False,True,True,1,True
Shahzeb Khanzada,Hum News,Dawn,Balochistan,Rawalpindi,Economy,Stock exchange crashes amid crisis,80.02379713,5000000.0,233.5,1.918124253,3.0,382030.0,109882.5,10000000.0,No,1.0,2018-08-28,English,Opposition,43874.0,False,True,True,False,True,False,True,False,False,1,False
Shahzeb Khanzada,Abb Takk News,Nawa-i-Waqt,Sindh,Quetta,Terrorism,Militant hideout destroyed in KPK,58.74782338,1000000.0,201.0,0.04409469708,4.0,755329.5,76120.0,5000000.0,No,1.0,2021-08-08,,Opposition,1664.0,True,False,False,True,False,True,False,True,False,1,False
